SAS_Angle[Deg],SAS_Speed,CR_Yrs_Yr,CR_Yrs_LatAc[g],ACCEL_REF_ACC[m/s^2],DriverBraking,CR_Mdps_DrvTq,CR_Brk_StkDep_Pc[%],CR_Yrs_LongAc[g],CR_Mdps_StrColTq[Nm],CR_Mdps_StrTq[Nm],CR_Mdps_OutTq,CF_Gway_TSigLHSw,CF_Gway_TSigRHSw,CR_Vcu_AccPedDep_Pc[%],CR_Mcu_VehSpd_Kph[kph],Time[s]
2.2,0,0.115000000000009,0.05506488,0.26,0,-0.09,0,0.09101001,-0.0703125,-0.07,0,0,0,8.6274509794,10,377
2.3,0,-0.180000000000007,0.07341984,0.549999999999999,0,-0.100000000000001,0,0.10222693,-0.109375,-0.109999999999999,-0.199999999999989,0,0,11.764705881,12,378
9.4,8,0.844999999999999,0.063095175,0.869999999999999,0,0.920000000000002,0,0.0994227,0.9921875,0.989999999999998,0.800000000000011,0,0,14.9019607826,16,379
8.8,0,1.06,0.088588175,0.97,0,0.530000000000001,0,0.10528609,0.53125,0.530000000000001,-0.099999999999994,0,0,13.7254901945,19,380
1.3,0,0.055000000000007,0.066919125,1.11,0,0.789999999999999,0,0.1453101,0.8046875,0.800000000000001,1,0,0,18.8235294096,22,381
3.2,4,0.300000000000011,0.051878255,0.66,0,0.949999999999999,0,0.09024522,0.9453125,0.940000000000001,0.800000000000011,0,0,12.9411764691,25,382
1.7,8,0.555000000000007,0.062585315,1.09,0,-0.390000000000001,0,0.11114948,-0.453125,-0.449999999999999,-1,0,0,14.9019607826,28,383
4.7,0,0.659999999999997,0.07189026,0.68,0,1,0,0.086803665,0.9921875,0.989999999999998,0.800000000000011,0,0,13.7254901945,31,384
4.8,0,0.530000000000001,0.04996628,0.810000000000001,0,0.370000000000001,0,0.09126494,0.40625,0.399999999999999,-0.5,0,0,13.7254901945,34,385
2.3,0,0.139999999999986,0.05659446,1.05,0,0.510000000000002,0,0.11930724,0.5625,0.559999999999999,0,0,0,17.6470588215,37,386
2.5,0,0.085000000000008,0.05531981,0.619999999999999,0,0.75,0,0.07800858,0.7578125,0.760000000000002,0.400000000000006,0,0,11.764705881,39,387
2.5,0,0.194999999999993,0.04894656,0.549999999999999,0,0.77,0,0.066154335,0.7734375,0.77,0.300000000000011,0,0,11.764705881,42,388
2.6,0,0.134999999999991,0.054427555,0.65,0,0.690000000000001,0,0.08234239,0.734375,0.73,0.300000000000011,0,0,13.7254901945,44,389
3.4,0,0.430000000000007,0.06041841,0.51,0,1.09,0,0.05965362,1.0859375,1.08,0.900000000000006,0,0,10.9803921556,46,390
3.5,0,0.504999999999995,0.054427555,0.279999999999999,0,0.780000000000001,0,0.02498314,0.7109375,0.710000000000001,0.199999999999989,0,0,6.6666666659,48,391
2.1,0,0.10499999999999,0.038876825,0.44,0,0.329999999999998,0,0.028679625,0.3125,0.309999999999999,0,0,0,7.843137254,49,392
2.9,0,0.284999999999997,0.04512261,0.31,0,0.57,0,0.04180852,0.5703125,0.57,0.099999999999994,0,0,9.8039215675,50,393
1.8,4,0.094999999999999,0.051113465,-0.130000000000001,0,-0.370000000000001,0,-0.042445845,-0.6015625,-0.600000000000001,-0.900000000000006,0,0,0,51,394
2.4,0,-0.039999999999992,0.050348675,0.32,0,1.06,0,0.009050015,1.0703125,1.07,1,0,0,5.8823529405,51,395
3.3,0,0.465000000000003,0.054682485,0.039999999999999,0,0.899999999999999,0,-0.00407888,0.9140625,0.91,0.599999999999994,0,0,3.921568627,52,396
2.3,0,0.22999999999999,0.05047614,-0.17,0,0.23,0,-0.04053387,0.140625,0.140000000000001,-0.5,0,0,0,50,397
3.3,0,0.384999999999991,0.055447275,-0.17,0,0.690000000000001,0,0.00407888,0.625,0.620000000000001,0.099999999999994,0,0,9.8039215675,50,398
4.1,4,0.449999999999989,0.05531981,0.85,0,1.31,0,0.069978285,1.4609375,1.46,1.80000000000001,0,0,11.764705881,52,399
1.1,0,-0.02000000000001,0.044485285,0.66,0,0.210000000000001,0,0.08514662,0.1953125,0.199999999999999,0.199999999999989,0,0,15.686274508,54,400
1.9,0,0.090000000000003,0.04537754,0.69,0,0.579999999999998,0,0.07520435,0.578125,0.579999999999998,0.099999999999994,0,0,14.9019607826,57,401
1.9,0,0.169999999999988,0.034288085,0.51,0,0.579999999999998,0,0.04002401,0.578125,0.57,0.199999999999989,0,0,10.9803921556,59,402
2.5,0,0.025000000000006,0.04027894,0.289999999999999,0,0.870000000000001,0,0.03849443,0.9140625,0.91,0.599999999999994,0,0,10.9803921556,60,403
3.3,0,0.199999999999989,0.050348675,0.459999999999999,0,1.09,0,0.03390569,1.0703125,1.07,0.800000000000011,0,0,10.9803921556,62,404
3.3,0,0.444999999999993,0.064624755,0.31,0,0.940000000000001,0,0.03645499,0.9375,0.940000000000001,0.599999999999994,0,0,10.9803921556,63,405
